fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
39.8597301216,60.1402698784,0.662779369,1.13496349843489E-14,0.9864660555,0.0184420492,0.056259034,0.0779610741,0.5714285714,4,0.015625,0.3278060053,0.8291364459,0.063390035,0.0769888272,9.6173783084,1
27.5135108105,72.4864891895,0.3795674355,0.2445404073,1.4472877966,0.4383359925,0.2195739347,0.0661007821,0.4166666667,6.25,0.015625,1.9963024898,0.8384749027,0.0516619841,0.0659852507,9.6823821384,1
30.1042562953,69.8957437047,0.4307022817,1.5010974554,1.7651689212,0.3818107387,0.8303824104,0.0541290896,0.2888888889,5.75,0.015625,0.4598010916,0.8750400217,0.0465868738,0.0541112663,9.698075163,1
40.2893354767,59.7106645233,0.674742708,1.7137378665,2.5024043849,1.8351659905,1.9462063569,0.0513513784,0.25,8.2,0.1328125,0.9429452247,0.8662743415,0.0581571529,0.0513513784,9.7323679745,1
60.81885918,39.18114082,1.5522482987,4.57160903396639E-14,1.8423113085,1.0631616406,1.26807015,0.0489163296,0.2666666667,5.3333333333,0.015625,0.8384091689,0.7949581875,0.0463094551,0.0486382338,9.7663682599,1
35.3021184656,64.6978815344,0.545645663,6.79456491070596E-14,1.3314146417,0.6398384911,0.4228719951,0.0544223131,0.3846153846,4.6666666667,0.0703125,1.5130784223,0.8159620086,0.050382955,0.0537679771,9.7618291741,1
37.4872184858,62.5127815142,0.5996728601,3.2205600450026E-15,0.6657300226,115.3382839071,211.4409125927,0.8726351576,0.5,5,0.0703125,0.5454870701,0.5793298631,0.8320211136,0.8295869869,9.8020179661,1
27.8340232068,72.1659767932,0.3856945398,0.4169758194,1.1028869532,0.2187008946,0.3765165145,0.0634233563,0.5,5,0.015625,0.5808533921,0.8645580446,0.0515590996,0.0634131273,9.7132975106,1
48.8961978043,51.1038021957,0.9568015628,1.5044255619,2.0009345355,2.638379849,4.2122440809,0.0574409614,0.338028169,9,0.015625,0.6263596787,0.8001481951,0.0878444902,0.0574325046,9.7510102021,1
57.6394424328,42.3605575672,1.3606865854,1.6356935015,3.4468764881,1.0929125418,0.9956885624,0.0442151128,0.1333333333,7.6666666667,0.046875,1.0976449695,0.7576409454,0.0731179033,0.0441045304,9.8037883302,1
65.0239404643,34.9760595357,1.8590985185,2.85841674827599E-14,1.9410072362,1.7671359378,3.041380545,0.0318047195,0.0714285714,3,0.015625,0.5810308548,0.7979533333,0.0509651054,0.0305256145,9.733143236,1
29.0961663422,70.9038336578,0.4103609754,0.8149711628,1.2732923245,0.5645416792,0.5402417947,0.0555238585,0.3,5.1666666667,0.015625,1.0449796456,0.8042836169,0.0488330963,0.055501867,9.8239778549,1
22.2275994737,77.7724005263,0.2858031811,0.3603184876,0.9143463672,0.0822336951,0.2483341135,0.0568948809,0.2894736842,4.875,0.0625,0.331141356,0.8123871827,0.0384130064,0.0568889369,9.8734580892,1
