fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
51.3633887886,48.6366112114,1.0560643003,1.2053620319,3.7652562558,1.7254756681,1.3278160656,0.05482815,0.237804878,9.7058823529,0.1015625,1.2994839517,0.6784559567,0.0842836607,0.0548281161,9.6665669219,1
46.7703860612,53.2296139388,0.87865349,1.353372327,3.3996059802,0.7925601944,0.7936492419,0.0470044509,0.1834319527,6.8,0.0859375,0.9986277974,0.6837762971,0.0628470755,0.0470038795,9.6585014616,1
46.8461317212,53.1538682788,0.8813306207,1.0475647594,3.8151530964,0.8482322594,0.5991022447,0.0472411854,0.245508982,8,0.1171875,1.4158388939,0.6955114569,0.0590743837,0.0472410336,9.6404539884,1
39.899429679,60.100570321,0.6638777214,1.3355413433,3.0182116419,0.4544368693,0.6092863614,0.0468390057,0.2242424242,6.64,0.0703125,0.7458510449,0.696071006,0.0512818223,0.0468254325,9.619885677,1
50.753177209,49.246822791,1.0305878498,1.8057353804,3.4057599233,1.2851251295,1.5661587945,0.0577651368,0.2699386503,8.2,0.1015625,0.8205586394,0.7152511311,0.0815573549,0.0577646156,9.6260841706,1
52.9557026918,47.0442973082,1.1256561522,1.6598772342,3.5649034301,1.1071779159,1.0191329894,0.0475807005,0.1656441718,6.8333333333,0.0859375,1.0863919895,0.7296940771,0.0708037445,0.047549682,9.6169407616,1
49.9613644567,50.0386355433,0.9984557715,1.0879658496,3.1358117485,0.0628895457,0.0432843489,0.0190692518,0.0121212121,4.4864864865,0.0703125,1.4529396251,0.7202409639,0.0173013157,0.0190688665,9.6089134459,1
46.6430894166,53.3569105834,0.8741714786,1.7750661779,2.5467518481,0.0545925522,0.1030282385,0.0205414513,0.0182926829,4.7142857143,0.078125,0.5298795069,0.7298181818,0.0201661612,0.0205400032,9.6096927954,1
41.0488329979,58.9511670021,0.6963192603,2.0801265249,1.9969987474,0.0394999241,0.1701698829,0.0207822482,0.0245398773,4.9696969697,0.078125,0.232120534,0.7327439024,0.0225471889,0.0207807993,9.6081028172,1
40.176010759,59.823989241,0.6715702391,2.3363406408,1.848723791,0.0920401425,0.4463165888,0.0273445573,0.0778443114,7.3043478261,0.1171875,0.2062216482,0.7123946479,0.0348332078,0.0273435082,9.6090983407,1
47.2394289077,52.7605710923,0.8953547683,2.0352308325,2.4862534394,0.1803318328,0.4344059532,0.0280143803,0.0718562874,6,0.0703125,0.4151228394,0.7102751223,0.0373456251,0.0280066357,9.6374021034,1
77.3096736599,22.6903263401,3.4071644674,1.334431293,4.8420990539,3.0785312149,0.5076326741,0.0584962411,0.0858895706,5.2903225806,0.0390625,6.0644859404,0.7190747788,0.0977667157,0.0584957723,9.6570723557,1
72.3321558116,27.6678441884,2.6143040028,1.302374738,4.6646569354,3.9477019475,0.7964780663,0.0677681105,0.1656441718,6.8333333333,0.0859375,4.956447785,0.7277524483,0.1117749962,0.0677674162,9.6444597432,1
58.1043181813,41.8956818187,1.3868808349,1.4395745585,3.846920303,0.9916486562,0.5774423328,0.0419776677,0.1165644172,7.1304347826,0.09375,1.7173120151,0.7239877893,0.0630685332,0.0419776129,9.6340649016,1
38.3648237315,61.6351762685,0.6224501341,1.7293673722,2.3611806855,0.0875095933,0.2016135767,0.0285213256,0.0920245399,6.3076923077,0.1015625,0.4340461331,0.7178738945,0.027223336,0.0285210617,9.6250101555,1
46.3899961758,53.6100038242,0.8653235006,1.1424304672,3.601262566,0.7210784622,0.6467527057,0.0563135528,0.2037037037,6.52,0.0859375,1.1149214465,0.740903647,0.0601098761,0.0563134175,9.6334629043,1
47.5171010056,52.4828989944,0.9053825516,1.1121038462,3.7242485029,0.754494016,0.6188362603,0.0548896567,0.1851851852,5.8214285714,0.0625,1.2192142969,0.7429013233,0.0595542479,0.0548895179,9.6488370982,1
42.8659938934,57.1340061066,0.750271105,0.8976778963,3.4772892911,0.2791165641,0.2948339693,0.0372508887,0.1111111111,5.4333333333,0.09375,0.9466906569,0.7302935882,0.0373815715,0.0372508376,9.6488143367,1
46.9177716674,53.0822283326,0.8838696705,1.4131598132,3.5523860264,0.5177905875,0.510952088,0.0401736799,0.1595092025,6.8333333333,0.1015625,1.0133838371,0.721279311,0.0480059519,0.0401732583,9.6384410663,1
