fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
26.4209863834,73.5790136166,0.3590831826,0.2245791448,1.1583269037,0.0898439975,0.2157220732,0.0370007918,0.1071428571,4.8333333333,0.015625,0.4164803171,0.7128558966,0.0407926123,0.036996583,9.7871686098,1
50.1847363623,49.8152636377,1.0074168578,1.2521983865,2.429678746,0.4406373361,0.7530604295,0.0394794847,0.1506849315,6.1666666667,0.0625,0.5851287876,0.7398986892,0.0568671108,0.0394423296,9.805646036,1
52.5801583141,47.4198416859,1.1088218865,0.6780195569,3.2130723003,2.2333391182,1.988681939,0.0515674526,0.1578947368,6.4444444444,0.015625,1.1230247906,0.7728386405,0.0671000588,0.0515412138,9.710307613,1
53.6852198416,46.3147801584,1.1591379611,1.92577321758865E-13,1.7365647456,1.547951166,1.0543417439,0.069638888,0.0625,5.6666666667,0.015625,1.4681683381,0.8195649499,0.0596315792,0.0693025281,9.6105120199,1
46.7671315652,53.2328684348,0.8785386349,6.06154990872804E-14,1.4626284127,5.1257595326,0.9784612873,0.0616942506,0.2105263158,3.3333333333,0.015625,5.2385920619,0.7992597662,0.0686431629,0.0611436465,9.5984993658,1
44.2110357725,55.7889642275,0.7924691986,7.43826527485507E-14,1.4776838054,5.5612492564,1.875324905,0.0744101432,0.3333333333,3.8,0.015625,2.9654857361,0.8100746486,0.0769593858,0.0739020339,9.6036273576,1
58.2075790157,41.7924209843,1.392778347,5.54113217181606E-14,1.7455675577,0.0752389336,0.1344967202,0.0582409464,0.3529411765,3.6,0.015625,0.5594109173,0.8207090725,0.0505973263,0.0581756295,9.627000727,1
26.8385150613,73.1614849387,0.3668393976,0.7041317298,0.9998593704,0.6084989072,0.4168700997,0.0464823635,0.21875,5.5,0.046875,1.4596847017,0.7909517062,0.041635771,0.0463899377,9.6644793555,1
21.831814594,78.168185406,0.2792928412,0.3874152661,0.8904670085,0.4551194666,0.7377279009,0.0499297776,0.2,4.1,0.015625,0.6169205016,0.7583335113,0.0434860158,0.0498548413,9.7748878106,1
15.3916870228,84.6083129772,0.1819169592,0.4143576935,0.7450004539,0.5132287843,0.6515664162,0.0651656827,0.25,4.8333333333,0.015625,0.7876845268,0.7522167,0.0505194121,0.0651274399,9.8520238333,1
42.8807927221,57.1192072779,0.750724577,0.985605796,1.246557261,1.796157558,2.2083765546,0.050105293,0.243902439,8.4,0.015625,0.8133384473,0.7244654604,0.0614664135,0.0500530865,9.8189445316,1
52.0849401212,47.9150598788,1.0870265059,3.1580789201,2.9058468338,0.898957681,2.0022928232,0.0358030142,0.125,8.0909090909,0.109375,0.4489641428,0.7651332809,0.0675155532,0.0357959684,9.807329764,1
58.9059769188,41.0940230812,1.433443905,2.5472121204,4.2119214328,1.0912927737,1.4636303783,0.0324446923,0.0490196078,6.4375,0.015625,0.7456068075,0.7707030856,0.0622719438,0.0324432455,9.7781554176,1
57.872529081,42.127470919,1.3737480038,2.8216955332,4.1860764595,2.0219883318,2.0313840077,0.0388856579,0.1086956522,8.4545454545,0.109375,0.9953747416,0.7819985465,0.0705421275,0.0388856579,9.6460784674,1
54.9112331814,45.0887668186,1.2178473056,1.0160592332,3.1997501895,0.3650282087,0.395212113,0.0369418394,0.125,5.7,0.09375,0.9236260648,0.8262439474,0.0444980885,0.0369323537,9.6322650363,1
51.4595142446,48.5404857554,1.0601359555,1.07615984965855E-13,1.772153847,2.6420104608,4.5213175154,0.0477681629,0.0625,4.25,0.015625,0.5843452604,0.781608312,0.0829689416,0.045466477,9.8306669902,1
46.7636767745,53.2363232255,0.8784167264,5.60863514403971E-14,1.6867533654,1.0927032169,3.3854257102,0.0440446392,0.25,4.25,0.015625,0.3227668572,0.7457609591,0.0720561477,0.0432270971,9.9184359082,1
55.7646794729,44.2353205271,1.2606369482,7.25235988242269E-14,1.687237598,0.84631553,0.4587420841,0.0434633751,0.3157894737,4,0.015625,1.844861327,0.75394065,0.0485934037,0.0433932896,9.7858684631,1
41.0736201765,58.9263798235,0.6970328111,0.1955624691,2.2408761579,0.0353602655,0.0280924208,0.0295040528,0.0869565217,3.4285714286,0.015625,1.2587119398,0.747430125,0.0321444142,0.0294727474,9.8011125717,1
62.6937681389,37.3062318611,1.6805173026,1.0699681504,3.9317062419,1.172478707,1.0871084713,0.0367697267,0.1041666667,4.4545454545,0.015625,1.0785296389,0.7557392085,0.0635312159,0.0367639618,9.7356133218,1
56.4883503745,43.5116496255,1.2982350902,1.1996137074,2.4770556199,2.6095252104,5.0626189442,0.0519566297,0.25,8.625,0.0625,0.5154496594,0.7794237166,0.0893566177,0.0519520562,9.7556431062,1
46.2281794185,53.7718205815,0.8597101403,1.5563546425,2.2685877935,1.3372664399,2.6061414823,0.0498106524,0.2419354839,6.3,0.015625,0.5131211981,0.7750572735,0.0822836542,0.0498049137,9.7197236143,1
49.4527180357,50.5472819643,0.9783457411,1.5799025345,3.0073412922,2.2833995622,2.8396482,0.042532824,0.1395348837,6.2857142857,0.015625,0.8041135385,0.800868873,0.0734091846,0.042227468,9.6090187456,1
39.6864357016,60.3135642984,0.6580018303,0.2696743213,1.5360323217,1.1281631682,0.9485402786,0.050318522,0.1282051282,6.6666666667,0.015625,1.1893676986,0.8352833519,0.0537418309,0.0502610641,9.6781348358,1
56.0644769798,43.9355230202,1.2760625828,1.1105079832,2.7598003396,2.0860584044,1.955791759,0.0404430546,0.1875,8.125,0.015625,1.0666055805,0.7680532014,0.0642710137,0.0404398543,9.8273535714,1
56.5948863409,43.4051136591,1.3038760084,1.5282899368,4.8878052368,0.8031892773,0.6178889073,0.0407906695,0.191011236,7.5,0.0625,1.2998926957,0.7510536603,0.057891568,0.0407903827,9.9217098113,1
47.5346194438,52.4653805562,0.9060187678,0.9778425784,3.0209629876,1.989965516,0.9886420551,0.0486059182,0.1960784314,7.4285714286,0.015625,2.0128270954,0.7417369003,0.0518414598,0.0485711426,9.8910892067,1
62.0265634499,37.9734365501,1.6334198083,1.8850596004,2.2738680524,1.5646976722,2.9977375827,0.0424031429,0.1355932203,10,0.03125,0.5219595208,0.7733133969,0.0859199577,0.0423956986,9.7823026917,1
52.229292689,47.770707311,1.0933330409,2.8862845527,3.501494751,1.3975551424,3.2152461753,0.0424330829,0.1020408163,9.9,0.078125,0.4346650509,0.7753529134,0.0790426888,0.0424139065,9.7250320983,1
50.1277880747,49.8722119253,1.0051246203,2.5666486077,3.8313479429,1.37827002,2.4105886862,0.0460712424,0.1123595506,6.9230769231,0.015625,0.571756612,0.7698982714,0.0773369013,0.0459744607,9.7010848843,1
55.7992378511,44.2007621489,1.2624044279,2.0044672089,2.2956261527,3.8594276129,4.8214916748,0.046356731,0.1764705882,8.6666666667,0.046875,0.8004633987,0.7675626566,0.079656224,0.0462918851,9.6164678663,1
40.1810246933,59.8189753067,0.6717103475,2.21136305674257E-13,1.6594789665,0.0171134556,0.0280008137,0.0476193002,0.25,3.25,0.015625,0.611177083,0.7360093958,0.039404141,0.0475223985,9.5660544492,1
46.6407169822,53.3592830178,0.8740881501,4.73812412765714E-14,1.1780093671,0.1879977284,0.1929047264,0.0393240412,0.1111111111,5,0.0625,0.9745625827,0.5640883,0.0462655549,0.0373988864,9.9382163682,1
46.6407169822,53.3592830178,0.8740881501,4.73812412765714E-14,1.1780093671,0.1879977284,0.1929047264,0.0393240412,0.1111111111,5,0.0625,0.9745625827,0.5640883,0.0462655549,0.0373988864,9.7713930691,1
24.6080349987,75.3919650013,0.3264012949,0.495097334,1.0948878246,0.418360241,0.6630812525,0.0562343359,0.125,6.6,0.015625,0.6309335989,0.7692849007,0.0665715299,0.0561579607,9.761809036,1
45.6999545859,54.3000454141,0.8416190859,2.167534934,4.181196917,0.9975601474,1.5947902074,0.0554672777,0.1397849462,7.2307692308,0.015625,0.625511834,0.7592388049,0.0707923487,0.0554662598,9.7503390507,1
49.5567556488,50.4432443512,0.9824260173,1.4802465626,2.2035396358,0.5800229359,0.8605295975,0.0521788795,0.1304347826,7.7777777778,0.015625,0.6740301991,0.7555515991,0.0687532268,0.0521474187,9.6541169757,1
36.6675307599,63.3324692401,0.5789689112,1.54029285924395E-14,1.0341990762,1.1039648297,0.0428384548,0.0586644007,0.380952381,5.5,0.015625,25.7704166538,0.7713421364,0.0544599048,0.0585888501,9.7979913223,1
39.7333519862,60.2666480138,0.659292549,4.34668505900141E-14,1.4600929499,0.4870917757,0.2400549787,0.0710352209,0.5833333333,4.3333333333,0.015625,2.0290842467,0.7740739231,0.0685916767,0.0706042651,9.792570933,1
51.261654679,48.738345321,1.0517725692,1.1139234366,3.4324726321,0.3875156219,0.6625013749,0.0627197454,0.2916666667,7,0.046875,0.5849280266,0.7739825006,0.0695611471,0.0625768087,9.6827989914,1
51.261654679,48.738345321,1.0517725692,1.1139234366,3.4324726321,0.3875156219,0.6625013749,0.0627197454,0.2916666667,7,0.046875,0.5849280266,0.7739825006,0.0695611471,0.0625768087,10.2286324625,1
56.9966685354,43.0033314646,1.3254012327,0.8949655493,1.8413327767,0.9115065162,0.7572785266,0.0377417104,0.1176470588,5.8333333333,0.015625,1.2036608515,0.7962511004,0.0658617874,0.0376576156,10.1497848889,1
42.4791641907,57.5208358093,0.7385004684,2.2852933871,3.5582769767,0.7174429886,1.5856940316,0.0478142618,0.1473684211,6.8571428571,0.015625,0.4524473034,0.7966685355,0.060146644,0.0478141968,10.0291250755,1
56.1494715299,43.8505284701,1.2804742266,0.4658562909,1.9337412813,0.173026302,0.0969389433,0.0497277371,0.1794871795,5.7142857143,0.015625,1.7848998146,0.7725757459,0.0482894651,0.049669597,9.818946375,3
45.0740244125,54.9259755875,0.8206322042,1.9794183337,4.1600089621,0.3933482795,0.587059658,0.0504843678,0.2111111111,7.5833333333,0.125,0.670031187,0.7689320116,0.0513609589,0.0504795908,9.8060407767,3
41.6315305331,58.3684694669,0.7132537638,1.3539712757,1.8701259111,1.3522695466,2.8055561396,0.0531793228,0.2375,9,0.078125,0.4819969658,0.7358703401,0.0695264239,0.0531617438,9.7942744579,3
51.8488278136,48.1511721864,1.0767926399,0.8797091886,1.4558866259,3.6204869971,3.9742175607,0.0576312081,0.2666666667,11.5,0.140625,0.9109936589,0.7120657464,0.0762317381,0.057630162,9.7415384586,3
63.5698480668,36.4301519332,1.7449789445,3.10792096435298E-14,1.7389269815,3.5514522168,1.4336655092,0.0543657812,0.2631578947,6.6666666667,0.015625,2.4771832718,0.7508156,0.0719595502,0.0541413858,9.7341900183,3
43.3787786178,56.6212213822,0.7661222693,6.78692782170749E-14,1.5055127934,2.6088599972,2.2060536293,0.0607410454,0.2352941176,4.5,0.015625,1.1825913761,0.7284121591,0.0626853031,0.0606784224,9.7700662051,3
42.37600179,57.62399821,0.7353880867,1.2875172344,2.8266894704,1.3832873329,1.4855630609,0.0516775651,0.24,4.6363636364,0.015625,0.9311535601,0.7240197228,0.0546094866,0.05166906,9.7819566807,3
38.3578349139,61.6421650861,0.6222661852,1.5763220195,1.9786657726,1.2491381095,2.184918562,0.0493245335,0.25,7.125,0.015625,0.5717092304,0.6957554912,0.0599466213,0.0492961127,9.7671214885,3
35.8143680449,64.1856319551,0.557981077,0.5197603339,1.3654085079,2.1753544301,1.121116208,0.0541791108,0.2666666667,4.6,0.015625,1.9403469636,0.6749629348,0.0563507548,0.0541690953,9.7624060696,3
45.9112322063,54.0887677937,0.8488126848,0.7916687583,3.1845755153,0.7855112739,0.6187025707,0.0534161925,0.2857142857,5,0.015625,1.2696104898,0.6879912921,0.049984622,0.0534076245,9.7483751185,3
36.9483362467,63.0516637533,0.586000972,1.0789593705,1.2552746318,3.8057672127,2.6928326374,0.0454885398,0.2571428571,6,0.015625,1.4132951153,0.7181194613,0.0673641306,0.0453810614,9.7246990825,3
36.1355799042,63.8644200958,0.5658170833,7.91173894646115E-14,0.8505804383,1.3341764349,1.5730677565,0.0868208756,0.3333333333,5,0.015625,0.8481366612,0.8553022029,0.0796822732,0.0842840139,10.017282987,1
28.5291431012,71.4708568988,0.3991716951,5.62293739725686E-14,1.0285298486,1.104256167,1.0749141961,0.0876294161,0.4615384615,4.6666666667,0.015625,1.0272970355,0.8575932164,0.0732321075,0.0876211719,9.8531613283,1
51.6070294357,48.3929705643,1.066415821,4.71295303565916E-15,1.4649445884,6.5718012553,4.6600409359,0.0808528304,0.5789473684,6.6666666667,0.015625,1.4102453918,0.7454030098,0.1049826417,0.0775219585,9.8669175531,1
38.7480276006,61.2519723994,0.6326004875,1.4341505276,2.132273093,2.2861506625,2.1355116221,0.0710506086,0.3846153846,6.625,0.015625,1.0705400237,0.7830721369,0.0766172111,0.0710448894,9.8935105028,1
51.5149739633,48.4850260367,1.0624924471,1.0944670365,4.469144719,0.9783436422,0.7929878537,0.0461975597,0.2371134021,6.5333333333,0.015625,1.2337435405,0.8075922761,0.0523081948,0.0461694653,9.9048878611,1
55.0182625191,44.9817374809,1.2231244412,1.2451596608,4.8678400178,1.0271419241,0.6937321434,0.0423892583,0.1844660194,5.7777777778,0.015625,1.4806030452,0.8053253269,0.0527055892,0.0423881724,9.9087589916,1
46.6510405097,53.3489594903,0.8744508038,1.3148474905,4.0087235989,0.5145267224,0.5417016217,0.0438143973,0.1743119266,6.1111111111,0.09375,0.9498341924,0.7974796636,0.0438873686,0.0438122865,9.9040145117,1
50.7804602651,49.2195397349,1.0317134321,1.3188205723,3.6972362236,0.470857282,0.3675768864,0.041433166,0.1472868217,5.4166666667,0.015625,1.2809763056,0.7868148308,0.0421739984,0.0414315724,9.9052965602,1
51.1125919093,48.8874080907,1.0455165022,1.5637309508,3.5825184388,0.5398571479,0.3932191179,0.0450864312,0.1984732824,7.3333333333,0.109375,1.372916838,0.7764517683,0.0471276317,0.0450858,9.9254569118,1
