fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
51.4479904406,48.5520095594,1.0596469828,2.1337081345,3.0458830277,1.8892994158,2.9956089387,0.0704867648,0.5207100592,4.8571428571,0.015625,0.6306896042,0.7030688699,0.1109474203,0.0704863675,9.8873022626,1
49.8681479103,50.1318520897,0.9947397878,1.6961821623,3.252372816,1.1037220063,1.1566913872,0.0658564535,0.6271186441,5.0857142857,0.015625,0.954206125,0.6704051271,0.0776095739,0.0658555169,9.8486220892,1
51.4067498405,48.5932501595,1.0578989813,1.8315659809,3.0910079049,1.1294963183,1.1098098133,0.0624705046,0.6312849162,4.3902439024,0.015625,1.0177386295,0.6618315588,0.0766204628,0.0624704047,9.7994947217,1
44.8795859953,55.1204140047,0.8142098859,0.9842855611,3.1862284952,0.5384672955,0.5071857317,0.058653775,0.6284153005,3.5384615385,0.015625,1.0616767426,0.6497546688,0.0539471411,0.058653775,9.7872834942,1
50.1807161951,49.8192838049,1.0072548693,1.5990260129,3.305031126,0.8148323225,0.7759384705,0.0603603075,0.5856353591,4.1363636364,0.015625,1.0501249177,0.6596389784,0.0654443165,0.060360103,9.8063346867,1
44.5728797214,55.4271202786,0.8041709455,2.23752857,1.7436297482,2.2176598271,12.8352940977,0.0864826785,0.5443037975,4.96875,0.015625,0.1727782636,0.7547182152,0.1874676201,0.0864811962,9.8058005788,1
39.64717656,60.35282344,0.6569233103,2.5593667673,1.497534053,1.8287110957,11.2901425962,0.0878454208,0.535483871,4.1052631579,0.015625,0.1619741363,0.7719732148,0.1779704557,0.0878240961,9.8360784226,1
45.5185936913,54.4814063087,0.8354885965,1.1051182539,3.3533308764,1.1105638388,1.3378115003,0.0681115643,0.5357142857,3.4489795918,0.015625,0.8301347675,0.7124032478,0.0767381509,0.0680928392,9.8650661422,1
49.4548407207,50.5451592793,0.9784288234,1.393268705,3.6070930535,1.7109752392,1.8117533829,0.0664889433,0.5204678363,5.375,0.015625,0.9443753522,0.7019125541,0.0889999758,0.0664809778,9.8855424873,1
44.8290848952,55.1709151048,0.8125492356,1.4905388314,3.1866665773,1.2689586419,1.5983735489,0.0639071625,0.5055555556,5.1714285714,0.015625,0.7939061822,0.6623280192,0.0826561052,0.0639071625,9.9351888341,1
42.2489109208,57.7510890792,0.7315690768,1.4674074868,2.863016981,1.0165812784,2.2269787458,0.0650133569,0.5314285714,5.0285714286,0.015625,0.4564844996,0.6819916615,0.086153417,0.0650108456,9.9263415488,1
47.5151748622,52.4848251378,0.9053126258,0.8495599004,3.3702785723,1.2154122092,0.9374809152,0.0622166093,0.5393939394,2.9642857143,0.015625,1.2964660821,0.7207724225,0.071291874,0.0622136573,9.8610680321,1
48.0347773917,51.9652226083,0.92436393,1.4529856365,3.2561870729,0.6417489765,0.9529206981,0.0584742674,0.5294117647,3.0535714286,0.015625,0.6734547563,0.7024527556,0.0629446709,0.0584713086,9.8144117352,1
47.5591772066,52.4408227934,0.9069113464,1.2575045612,3.2672229377,0.5969022293,0.6358470516,0.0593592624,0.5625,2.8095238095,0.015625,0.9387512733,0.6832490951,0.0580064884,0.059357511,9.8073142949,1
53.6062524344,46.3937475656,1.155462864,1.5375418078,3.6259798789,0.8891617446,0.6766157662,0.0610298413,0.5639534884,2.8833333333,0.015625,1.3141309869,0.6907471525,0.0645059844,0.0610298413,9.7996546375,1
57.6427257366,42.3572742634,1.3608695729,1.4172673856,3.5687767224,1.4542236625,0.9123034567,0.0621752244,0.5562130178,4.25,0.015625,1.5940131016,0.7035579527,0.0757283984,0.0621752244,9.7943165701,1
59.561474558,40.438525442,1.4728893773,1.2103651521,4.1448032001,1.9522714702,1.0354616577,0.0620413086,0.5380116959,4.9142857143,0.015625,1.8854116476,0.6957945121,0.0832905615,0.0620164986,9.7913909834,1
54.5474042371,45.4525957629,1.2000943691,1.4156719322,3.4600756792,2.1685671561,1.70095971,0.0616447458,0.4882352941,4.275,0.015625,1.2749080083,0.7111946713,0.0934066594,0.0616429496,9.8006210934,1
50.1410037465,49.8589962535,1.0056561005,1.6868586411,3.1618235127,1.5203423024,2.0550696152,0.0589907871,0.476744186,4.6756756757,0.015625,0.7398008764,0.7048970777,0.0904891395,0.0589793259,9.8170949303,1
47.7025664224,52.2974335776,0.91213972,1.264181422,3.3762412027,1.0646052213,1.0419247155,0.0575845659,0.4971751412,4.6842105263,0.015625,1.0217678931,0.6795074203,0.0708794431,0.0575827921,9.8227158031,1
51.1439051474,48.8560948526,1.046827531,1.1993302181,3.5716205467,1.5236689405,1.3007172229,0.0654009499,0.5438596491,4.1951219512,0.015625,1.1714067544,0.7035562112,0.0808337397,0.0654008454,9.8757739514,1
54.3067972126,45.6932027874,1.1885093165,1.1996627616,3.6453006978,1.6439268603,1.1554617034,0.0649616647,0.5780346821,3.5510204082,0.015625,1.4227445666,0.6927986482,0.0812097571,0.0649616647,9.9447651183,1
50.3233477503,49.6766522497,1.0130180975,1.8727051254,3.2600679542,1.0367031392,1.4286410525,0.0612608542,0.6077348066,3.9565217391,0.015625,0.7256568313,0.6538647256,0.0765196409,0.0612602731,9.95375557,1
54.4772743118,45.5227256882,1.196705019,2.3318776929,2.3414938888,1.904113657,8.3531288233,0.074959482,0.5878787879,5.5333333333,0.015625,0.2279521479,0.7167091309,0.1578467334,0.0749586,9.9564898435,1
53.8951141875,46.1048858125,1.1689675235,2.3958836445,2.4834632978,2.6672292245,12.5537049494,0.0872149069,0.5562130178,8.9473684211,0.015625,0.212465502,0.6933111951,0.1881330517,0.0872128996,9.8573879268,1
46.170553002,53.829446998,0.8577192518,2.2706307947,2.7357195326,1.5704155016,4.7057886736,0.0785209351,0.5638297872,7.875,0.015625,0.3337199374,0.6220256106,0.1227042037,0.0785204878,9.7769754338,1
36.5879505581,63.4120494419,0.576987353,1.8631762385,2.3876876937,0.9539353321,2.4726286905,0.0643087518,0.5597826087,5.4411764706,0.015625,0.385798052,0.6438157724,0.0877502563,0.0642976358,9.7738053173,1
45.4649506974,54.5350493026,0.8336831318,1.9174606594,2.9534617812,1.0676127978,1.6082442756,0.0603748265,0.5268817204,4.7948717949,0.015625,0.6638374618,0.6424763295,0.0789884651,0.0603732945,9.7401019443,1
48.025872833,51.974127167,0.9240342349,1.6340485412,3.0207113809,0.6207764777,0.9074087478,0.0598746557,0.6182795699,4.7948717949,0.015625,0.6841200057,0.6419509325,0.0626321581,0.0598731109,9.7420983754,1
35.5649734132,64.4350265868,0.5519509388,0.9774257155,2.4229195869,0.2085434468,0.4366825315,0.0589698209,0.6483516484,3.5882352941,0.015625,0.4775630619,0.6537280886,0.04637116,0.0589697185,9.8022688519,1
35.8688941763,64.1311058237,0.5593057178,1.4070344317,2.4842576046,0.4468628692,0.9293512704,0.0577287425,0.5363128492,3.5294117647,0.015625,0.4808331181,0.6673283721,0.0585918817,0.0577277694,9.8518136619,1
43.8023408201,56.1976591799,0.7794335469,1.6442682548,3.1632097575,0.9536175959,1.5275876889,0.0576465526,0.427027027,3.7959183673,0.015625,0.6242637348,0.6427816049,0.0743483977,0.0576449306,9.7903686683,1
42.6457154721,57.3542845279,0.7435489053,1.3820214188,3.1108205873,0.8599865615,1.1651056211,0.0568218372,0.4468085106,2.661971831,0.015625,0.7381189705,0.6278506794,0.0693417299,0.0568202438,9.7465606785,1
36.6694253268,63.3305746732,0.5790161469,1.4368038048,2.4442355306,0.4130390156,0.8025632083,0.0595157844,0.6310160428,3.298245614,0.015625,0.5146498261,0.6357797167,0.057429555,0.0595157844,9.8388119283,1
53.1898233393,46.8101766607,1.136287601,2.2300982743,2.8702059506,3.3987532198,7.97411112,0.073082865,0.4775280899,7.7826086957,0.015625,0.4262234585,0.6540501718,0.1542307423,0.0730606106,9.8125607249,1
53.4668666927,46.5331333073,1.1490063723,2.1079786738,2.5668277986,3.2484100424,12.2052065297,0.0796735441,0.4795321637,9.0526315789,0.015625,0.266149535,0.6837380487,0.1805990671,0.0796720748,9.7781188649,1
55.1505642998,44.8494357002,1.2296824573,1.8397764321,3.4498016949,6.0094322695,6.584605925,0.0995114839,0.6329113924,7.5714285714,0.015625,0.9126487352,0.74578125,0.1644759815,0.0995114839,9.8373876746,1
51.8995421231,48.1004578769,1.0789822886,2.0811267089,3.2688818586,3.0733480062,6.0152601778,0.082283501,0.532967033,7.625,0.015625,0.5109251995,0.6391818584,0.1420877355,0.082266989,9.9108437741,1
59.2992189355,40.7007810645,1.4569553061,2.1451509386,2.6986850535,3.1261235189,9.2304738163,0.0708578045,0.4971751412,8.9,0.015625,0.3386742199,0.6601014756,0.1638698995,0.070854561,9.9155268286,1
58.3010359848,41.6989640152,1.3981411136,2.1365957374,3.0572523224,4.4567149879,8.8182868817,0.0789011788,0.5487804878,11,0.015625,0.5053946472,0.6974357664,0.1663546738,0.0788951469,9.899985771,1
