fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
52.993200423,47.006799577,1.1273518065,1.0451942591,3.561813146,0.4936109105,0.2595308735,0.0503766209,0.4421052632,2.3580246914,0.015625,1.9019352255,0.6269187754,0.0471099079,0.050376511,9.7293303852,1
47.214193631,52.785806369,0.8944486573,1.1912672116,3.0755429422,0.3075101526,0.312247447,0.0540184537,0.5691489362,2.9076923077,0.015625,0.9848283964,0.6335528365,0.0446798846,0.0540158348,9.7226183741,1
48.7061253333,51.2938746667,0.9495505194,1.3116658387,3.1031308096,0.3283481324,0.3907526159,0.0533129845,0.5531914894,3.2033898305,0.015625,0.8402966967,0.6364520855,0.0465134541,0.0533129845,9.7244196055,1
53.007463696,46.992536304,1.1279975048,1.3978290103,3.2129776404,0.5673800279,0.4608198073,0.052065425,0.4702702703,3.875,0.015625,1.231240539,0.6483573669,0.0533898117,0.0520653128,9.6996868974,1
49.6391472667,50.3608527333,0.985669316,1.2967928728,3.175439159,0.3965803766,0.4168919641,0.0538449362,0.4861878453,3.64,0.015625,0.9512785343,0.6590691409,0.0494980939,0.0538431221,9.7109039101,1
40.3683106428,59.6316893572,0.6769607079,1.3773330042,2.7418356677,0.3817258037,0.6482156764,0.0579928164,0.5934065934,3.8936170213,0.03125,0.5888870287,0.6549064564,0.0520768795,0.0579911505,9.727095252,1
49.8437711682,50.1562288318,0.9937703119,1.2305372735,3.4360073256,0.9120017139,0.8092120515,0.059869342,0.5879120879,4.1590909091,0.015625,1.1270243841,0.656472694,0.0654448085,0.0598619533,9.7163853698,1
53.6507048793,46.3492951207,1.1575301143,1.2409725835,3.4207898659,0.8549409132,0.4464711105,0.0573396796,0.543956044,4.1590909091,0.015625,1.914885181,0.6544841215,0.0598475292,0.0573395743,9.7273778793,1
49.7012903305,50.2987096695,0.9881225713,1.6552969444,2.9425328632,0.4529343245,0.5330965919,0.0564190966,0.5567567568,4.1333333333,0.015625,0.8496290004,0.6429716245,0.0530071713,0.0564190966,9.7191267159,1
50.8082190976,49.1917809024,1.0328599243,1.315129573,3.1571705548,0.5955709458,0.5379804214,0.0579015707,0.5935828877,3.4814814815,0.015625,1.1070494801,0.6380025622,0.0561402403,0.0578999903,9.7157320939,1
47.2557800816,52.7442199184,0.8959423451,1.4417750022,3.1373688054,0.8975422234,0.9269048801,0.0604729562,0.5580110497,4.0444444444,0.015625,0.9683218232,0.6620440823,0.0681705068,0.0604704324,9.6982520202,1
46.2312024199,53.7687975801,0.8598146974,1.7347319769,3.0569059273,0.6945373382,1.295173888,0.0610740347,0.5561797753,3.9777777778,0.015625,0.5362502631,0.670018745,0.0696639287,0.0610714508,9.6542343858,1
29.3537589263,70.6462410737,0.4155034787,1.9797177944,1.7465005016,0.3128800034,1.7474097594,0.0610325066,0.5698924731,4.675,0.015625,0.1790535973,0.6418165305,0.0701767824,0.0610309911,9.6668469371,1
41.333213193,58.666786807,0.7045419639,1.6217266855,2.8554793905,0.7625142843,2.414247036,0.0666705663,0.5824175824,5.5454545455,0.015625,0.3158393789,0.6624703064,0.0850743554,0.0666691173,9.7154078611,1
46.2357327796,53.7642672204,0.8599714117,1.1633893883,3.3606757471,0.9875219329,1.5105009957,0.0635035259,0.5388888889,4.641025641,0.015625,0.6537711234,0.6631997861,0.0779075098,0.0634870962,9.7370407003,1
38.0186170513,61.9813829488,0.6133876858,1.220835557,2.843889772,0.5447262743,0.8738301079,0.0554219833,0.478021978,3.9782608696,0.015625,0.6233777818,0.6500834963,0.0590132847,0.0554131581,9.7400757908,1
36.4107756663,63.5892243337,0.5725934865,1.2645421377,2.5341263106,0.2724668567,0.5229686822,0.0560526272,0.5833333333,3.3518518519,0.015625,0.5210003313,0.6617286885,0.0483640727,0.0560525171,9.7332408979,1
47.6273747657,52.3726252343,0.9093944509,1.0397889362,3.2086387553,0.4694520417,0.3666089776,0.0549991735,0.5580110497,3.3703703704,0.015625,1.28052522,0.6576453835,0.0490564228,0.0549981746,9.7354640935,1
47.0355326256,52.9644673744,0.8880582579,1.8374183996,2.7577447884,0.414734671,0.581310674,0.0528315375,0.4858757062,2.5428571429,0.015625,0.7134475411,0.6769079627,0.0516072765,0.0528310541,9.7318396302,1
43.5411741452,56.4588258548,0.7712022609,1.9044247529,2.6375453373,0.5872484601,1.2661576271,0.0592831571,0.5028571429,2.8387096774,0.015625,0.4638035956,0.6839694096,0.0668619937,0.0592813945,9.7148289194,1
45.0270446155,54.9729553845,0.8190762949,1.6614969469,2.7306797277,0.8400017559,1.5758839947,0.0599899845,0.5371428571,4.6315789474,0.015625,0.5330352734,0.6825729629,0.0742477241,0.0599898757,9.7171472246,1
51.3846578902,48.6153421098,1.0569638238,1.8030345867,3.1809005246,1.127273527,1.1807098996,0.0578564941,0.5084745763,4.45,0.015625,0.954742166,0.6783127127,0.0731581276,0.0578553311,9.7357160511,1
53.8411709747,46.1588290253,1.1664327738,1.6208773724,3.4310633341,1.039837298,0.8535777688,0.0564122981,0.4545454545,2.6818181818,0.015625,1.2182103799,0.6833476654,0.0662722831,0.0564121837,9.7336424569,1
44.8005252779,55.1994747221,0.811611442,1.5029687723,2.9685468337,0.4533275505,0.5956755675,0.0532958547,0.4736842105,2.2933333333,0.015625,0.7610309625,0.6982129044,0.0521500888,0.0532926462,9.7298091528,1
50.1087747745,49.8912252255,1.0043604772,1.5730569142,3.3564932405,0.9679726366,1.0731001137,0.0574286886,0.5142857143,2.9333333333,0.015625,0.9020338589,0.6781903172,0.0691856553,0.0574286886,9.7218525926,1
44.5151484482,55.4848515518,0.8022937289,1.6452005619,3.1947086606,1.0641271121,1.5613404479,0.0660120418,0.5348837209,3.3269230769,0.015625,0.681547137,0.6912096864,0.078257689,0.0660119394,9.7270625837,1
40.6449572316,59.3550427684,0.6847768165,0.9983977752,3.1203593852,0.5956221355,0.742692856,0.0638613819,0.497005988,2.5454545455,0.015625,0.8019763899,0.7125883751,0.0605538356,0.0638588235,9.7418126462,1
47.3837857898,52.6162142102,0.900554829,1.305624018,3.4386347938,1.0840237654,1.1782407339,0.0614234025,0.5058823529,2.7142857143,0.015625,0.9200358927,0.7091698299,0.0718086285,0.0614215998,9.7456131218,1
49.5548114741,50.4451885259,0.982349614,1.5864533629,3.3007323207,1.7801880902,2.1448042753,0.0631543312,0.494047619,3.3137254902,0.015625,0.8300002525,0.7146885343,0.0924817032,0.063151526,9.7446886903,1
52.5003710855,47.4996289145,1.105279605,1.711828087,3.4776491882,1.9771047766,2.0133634904,0.0626812892,0.4720496894,3.7674418605,0.015625,0.9819909748,0.7438863453,0.0941911744,0.0626689785,9.7405778283,1
40.7532419639,59.2467580361,0.687856067,1.9340894234,2.5397246205,0.5194057953,1.5570909547,0.0614522333,0.5063291139,4.6764705882,0.015625,0.3335744734,0.7537270548,0.0718324412,0.0614391949,9.7352592435,1
34.7177568044,65.2822431956,0.531810108,1.6600110414,2.4274764597,0.2574729652,0.9340449074,0.0522359688,0.4337349398,2.2567567568,0.015625,0.2756537326,0.7215448851,0.0543530855,0.0522337456,9.7299027993,1
36.8178753044,63.1821246956,0.5827261347,1.1386947389,2.7573758724,0.3020516084,0.5196051692,0.0489848954,0.4166666667,1.8571428571,0.015625,0.5813098604,0.7122807848,0.046127209,0.0489848954,9.7292248762,1
47.1861325981,52.8138674019,0.8934421,1.2797517364,3.2795381602,0.4796229672,0.4717000554,0.0527987498,0.4727272727,2.338028169,0.015625,1.0167965039,0.7198584859,0.0505942091,0.0527965236,9.7297008463,1
48.1354966744,51.8645033256,0.928100986,2.200091321,2.4216697521,0.4508993353,1.2633159915,0.054658383,0.4764705882,2.85,0.015625,0.3569173021,0.7008658178,0.0634561737,0.0546582859,9.7268321129,1
47.2571880504,52.7428119496,0.8959929572,2.1086819579,2.6063230694,0.517998186,1.6049244838,0.0520941299,0.4294117647,3.0535714286,0.015625,0.3227554887,0.7034293013,0.069873908,0.0520920044,9.7265378695,1
50.5558377416,49.4441622584,1.0224834527,1.6944882591,3.009860205,0.5618756056,0.916434989,0.0535399078,0.4268292683,2.3571428571,0.015625,0.6131101631,0.7311297256,0.0613106794,0.0535399078,9.7379645079,1
47.5954233607,52.4045766393,0.9082302809,2.172362356,2.4081789407,0.4804103354,1.6728124666,0.0528407432,0.4319526627,2.3611111111,0.015625,0.2871872042,0.702169094,0.0696632022,0.0528406107,9.8158482871,1
53.0852719338,46.9147280662,1.131526796,1.9403787296,2.8265096602,1.0331616242,1.5851110733,0.0561021052,0.4823529412,3.0535714286,0.015625,0.6517913108,0.7020659644,0.077411421,0.0561019819,9.8773642086,1
46.9182067322,53.0817932678,0.883885111,2.0547549746,2.8690655243,1.0698469316,1.6302745574,0.0595677859,0.5284090909,3.4038461538,0.015625,0.6562372741,0.6748382884,0.0787999936,0.0595677811,9.706752403,1
52.016688603,47.983311397,1.084057917,1.5886697567,3.3069878579,0.9945251877,1.2675230679,0.0571919634,0.5056179775,3.5098039216,0.015625,0.7846209768,0.6761343364,0.072033292,0.0571919634,9.6952470565,1
47.4403646076,52.5596353924,0.9026007173,1.737711834,3.107414298,1.8236508927,2.8409770496,0.0625781075,0.5505617978,3.6530612245,0.015625,0.6419097588,0.6635942007,0.1002736638,0.0625522791,9.841101759,1
46.1419002219,53.8580997781,0.8567309358,1.6115660335,3.1117702142,2.416924826,3.1233614363,0.0758844097,0.627027027,5.8125,0.015625,0.7738216903,0.6411277637,0.1121303323,0.0758824844,9.9637387406,1
37.5514982284,62.4485017716,0.6013194418,1.7183712043,2.6053720614,1.4920023637,2.4551553159,0.0760932313,0.6344086022,5.1944444444,0.015625,0.607701824,0.6409038868,0.0949724397,0.0760932313,9.8863744244,1
42.0453338826,57.9546661174,0.7254866036,1.954628777,2.7888047232,0.9345000165,2.8024040915,0.0672661693,0.544973545,4.3181818182,0.015625,0.3334636926,0.6268852509,0.0927139684,0.0672631727,9.8503158221,1
36.6870365386,63.3129634614,0.579455368,2.270031286,1.7283705189,0.527926167,4.3074787476,0.0621283203,0.4873096447,4.6046511628,0.015625,0.1225603649,0.6000297682,0.1051608868,0.0621269931,9.8051011243,1
34.9445170803,65.0554829197,0.5371494532,1.9283846634,1.7798135288,0.7937114093,5.8489369561,0.0669521214,0.5189189189,6.4137931034,0.015625,0.1357018233,0.6380139184,0.1185378634,0.0669141053,9.7249103219,1
40.4746308249,59.5253691751,0.6799559816,2.0651525968,2.404503678,1.0330341137,2.3552288183,0.0653819817,0.5388888889,3.8510638298,0.015625,0.4386130577,0.6675937431,0.0910060294,0.0653793609,9.7259207748,1
43.2800002661,56.7199997339,0.7630465527,1.4215802984,3.0953843337,0.9704143847,1.0860424124,0.06190487,0.513368984,3.4814814815,0.015625,0.8935326775,0.6458458165,0.072089903,0.0618988086,9.7537488721,1
