fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
65.233590106,34.766409894,1.876339556,1.4354685449,4.2852705505,2.53806657,1.0909865497,0.0609138834,0.3037974684,10.6,0.171875,2.3263958395,0.7493362583,0.0952623844,0.06091122,9.8031858818,1
66.8056513018,33.1943486982,2.0125609907,1.7312445359,3.8605330402,5.2939133434,2.9497932989,0.0694433372,0.3949044586,12.1538461538,0.1484375,1.7946726455,0.7461238767,0.1356952692,0.0694432203,9.8148223452,1
63.6824351768,36.3175648232,1.7534885802,1.4449961928,3.8194090063,5.7830520713,3.2357283598,0.0693175373,0.4,9.75,0.0390625,1.7872489369,0.7540097519,0.1374236694,0.0693127696,9.8425733788,1
59.9946283903,40.0053716097,1.4996643195,1.5861336152,4.1291741572,3.4376626762,1.7630987169,0.0659090563,0.3725490196,14,0.1875,1.9497845715,0.7438102423,0.1047439692,0.0659074684,9.8695691697,1
47.5022983136,52.4977016864,0.9048452939,0.9680178693,3.7427653914,1.7242487108,1.3414629963,0.0654835657,0.4050632911,9.9375,0.109375,1.2853494398,0.7109370186,0.0819501615,0.0654659526,9.8669977478,1
47.8603827416,52.1396172584,0.9179273892,1.4190067283,3.6219983428,4.3186483683,3.1739926648,0.0699122037,0.4303797468,11.3571428571,0.171875,1.3606359007,0.6991885689,0.1239020091,0.069902921,9.8400037148,1
53.2426658253,46.7573341747,1.138701912,2.2114307479,2.8392582198,4.8440600365,8.6683401629,0.0715777048,0.4347826087,18,0.1953125,0.5588220981,0.69076936,0.1672054985,0.0715628613,9.8066323775,1
50.7196747444,49.2803252556,1.0292073861,2.4478265072,2.6027711071,2.5053793057,9.6169099696,0.070055217,0.4131736527,21,0.140625,0.26051812,0.6850892637,0.159377549,0.0700406548,9.7917567053,1
47.1611081521,52.8388918479,0.8925453677,2.0406683437,2.9035925519,2.7267343442,5.6445860411,0.0630361357,0.358490566,16,0.1171875,0.4830707379,0.7085329808,0.1265204685,0.0630078917,9.7750405935,1
54.4382744874,45.5617255126,1.1948246884,1.6331406506,3.4900215819,1.7568029822,1.7613511432,0.0513873199,0.2967741935,13,0.2109375,0.9974178,0.7437777705,0.0854181908,0.0513796073,9.7676582232,1
56.6333583529,43.3666416471,1.3059198546,1.5169490097,4.0832394368,4.2938436234,4.4660518018,0.0895415632,0.3421052632,15.3,0.1796875,0.9614406223,0.7582068308,0.1397222514,0.0895380828,9.7881031331,1
57.1122040416,42.8877959584,1.3316656351,1.4442127382,3.9596742556,5.9511017695,6.5658170613,0.0970868063,0.4154929577,15.8888888889,0.1171875,0.9063764211,0.8113137921,0.1579874965,0.0970818002,9.8184218282,1
51.1338285035,48.8661714965,1.0464054567,1.7019038617,3.2995995829,3.9809926584,4.0622949904,0.0910494173,0.4580152672,12,0.1015625,0.9799861083,0.8690768552,0.1324238086,0.0910482652,9.8635046214,1
59.5412340543,40.4587659457,1.4716522529,1.5712774086,4.2419771048,8.8516717962,12.8642010831,0.0996421595,0.5078125,18.4285714286,0.2265625,0.6880856214,0.8129144473,0.2139720958,0.0996352681,9.8746969885,1
63.5108438972,36.4891561028,1.7405402229,1.4762901307,4.4077875868,7.4179373696,11.8802525188,0.0848019126,0.4661654135,16.75,0.1015625,0.6243922305,0.7763757197,0.2036273394,0.0846734217,9.866074743,1
65.4059147651,34.5940852349,1.8906675613,1.7724565849,3.3159732418,6.4408229546,8.3356010754,0.0857701762,0.4925373134,10.3846153846,0.0625,0.7726884836,0.8675202187,0.1792699116,0.0857701437,9.8819814504,1
68.6205091183,31.3794908817,2.186794852,2.2475767491,3.0000315332,15.0203612705,12.4524081176,0.0899274575,0.5766423358,19.7142857143,0.1875,1.2062214094,0.8877117732,0.2356249064,0.0898528525,9.8668231216,1
