fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
51.6152920805,48.3847079195,1.0667687023,1.5151902789,3.8049108905,5.3328747923,4.0190294366,0.0865204026,0.3942857143,12.5714285714,0.1171875,1.3269061291,0.6344997517,0.1418048754,0.0865196343,9.8382225864,1
50.4705400798,49.5294599202,1.0190004123,1.7830458403,3.4332063941,3.2601689325,3.7805335792,0.0787107911,0.3021978022,9.15,0.09375,0.8623568245,0.6363698016,0.1276419862,0.0787095543,9.8384996716,1
65.2972643456,34.7027356544,1.8816172015,2.0662047322,3.2677555722,3.6094509096,3.7422986411,0.060085627,0.2817679558,10.7058823529,0.1015625,0.9645010342,0.6554334922,0.1350667181,0.0600856016,9.8237660352,1
61.5038347104,38.4961652896,1.5976613319,2.1173086482,3.4192224735,3.8530805143,3.8176321227,0.0658016507,0.3793103448,12.5,0.125,1.0092854394,0.6725443658,0.1340944354,0.0657773281,9.8227444417,1
68.9399559707,31.0600440293,2.2195704522,1.6872691911,3.9299754259,6.0396636255,5.5084642955,0.0889182419,0.4269005848,12.2857142857,0.1015625,1.0964332891,0.6917677086,0.1602877288,0.0889153841,9.8501129931,1
72.0281015699,27.9718984301,2.5750165563,1.7341022602,3.9509599377,11.4295633939,7.6233186903,0.0941563085,0.4939759036,16.7,0.125,1.4992897265,0.744392705,0.2018955922,0.0941542486,9.8557475229,1
61.0000994381,38.9999005619,1.5641091018,1.6820236294,3.6590174698,10.5356257464,7.1554253324,0.0990141784,0.524691358,20.375,0.1640625,1.4723968537,0.742235671,0.1935877003,0.0989505026,9.8345961414,1
47.3658913451,52.6341086549,0.8999086819,1.4309705987,3.4621692253,8.4952246174,7.6589685166,0.1203179422,0.5,17.8888888889,0.1484375,1.1091865176,0.7016202996,0.1880107625,0.1203178993,9.8511820551,1
43.0567968574,56.9432031426,0.7561358421,1.080598639,3.1825701216,5.2914903681,4.9749945429,0.0954520392,0.4457831325,16.7,0.171875,1.0636173211,0.6793205643,0.1510410766,0.0954457667,9.8416177143,1
65.6612655441,34.3387344559,1.9121632344,2.0109555398,3.3990884797,11.501954193,5.6000937057,0.0867586929,0.4573170732,16.5,0.171875,2.0538860236,0.7010211597,0.1911431351,0.0867576954,9.8263808913,1
71.274005283,28.725994717,2.4811675274,1.4701789075,3.7606159427,18.5442711039,9.659083796,0.1189819926,0.5189873418,22.7142857143,0.2890625,1.9198788928,0.7514529942,0.246381233,0.1189652648,9.8391685674,1
63.6499589485,36.3500410515,1.75102853,1.429366497,3.7871717519,11.4507570815,9.7834222622,0.1211537624,0.5714285714,20.25,0.1640625,1.1704244971,0.7336311079,0.2199345645,0.1211374247,9.8327590351,1
50.1280911678,49.8719088322,1.0051368063,1.690013453,3.2452037031,5.2577864652,5.050939962,0.0921942576,0.4583333333,15.3636363636,0.203125,1.0409520811,0.6986886536,0.155905652,0.0921897672,9.824642414,1
48.9681426897,51.0318573103,0.9595602682,2.5196772394,2.4505579178,0.8749334161,2.7712421025,0.055239483,0.2556818182,8.4285714286,0.1171875,0.3157188668,0.6732685515,0.0942988232,0.0552344094,9.8177852012,1
